,Car_Name,Year,Age,Selling_Price($),Present_Price($),Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
0,Ritz,2014,10,3.35,5.59,27000,Petrol,Dealer,Manual,0
1,Sx4,2013,11,4.75,9.54,43000,Diesel,Dealer,Manual,0
2,Ciaz,2017,7,7.25,9.85,6900,Petrol,Dealer,Manual,0
3,Wagon R,2011,13,2.85,4.15,5200,Petrol,Dealer,Manual,0
4,Swift,2014,10,4.6,6.87,42450,Diesel,Dealer,Manual,0
5,Vitara Brezza,2018,6,9.25,9.83,2071,Diesel,Dealer,Manual,0
6,Ciaz,2015,9,6.75,8.12,18796,Petrol,Dealer,Manual,0
7,S Cross,2015,9,6.5,8.61,33429,Diesel,Dealer,Manual,0
8,Ciaz,2016,8,8.75,8.89,20273,Diesel,Dealer,Manual,0
9,Ciaz,2015,9,7.45,8.92,42367,Diesel,Dealer,Manual,0
10,Alto 800,2017,7,2.85,3.6,2135,Petrol,Dealer,Manual,0
11,Ciaz,2015,9,6.85,10.38,51000,Diesel,Dealer,Manual,0
12,Ciaz,2015,9,7.5,9.94,15000,Petrol,Dealer,Automatic,0
13,Ertiga,2015,9,6.1,7.71,26000,Petrol,Dealer,Manual,0
14,Dzire,2009,15,2.25,7.21,77427,Petrol,Dealer,Manual,0
15,Ertiga,2016,8,7.75,10.79,43000,Diesel,Dealer,Manual,0
16,Ertiga,2015,9,7.25,10.79,41678,Diesel,Dealer,Manual,0
17,Wagon R,2015,9,3.25,5.09,35500,Cng,Dealer,Manual,0
18,Sx4,2010,14,2.65,7.98,41442,Petrol,Dealer,Manual,0
19,Alto K10,2016,8,2.85,3.95,25000,Petrol,Dealer,Manual,0
20,Ignis,2017,7,4.9,5.71,2400,Petrol,Dealer,Manual,0
21,Sx4,2011,13,4.4,8.01,50000,Petrol,Dealer,Automatic,0
22,Alto K10,2014,10,2.5,3.46,45280,Petrol,Dealer,Manual,0
23,Wagon R,2013,11,2.9,4.41,56879,Petrol,Dealer,Manual,0
24,Swift,2011,13,3.0,4.99,20000,Petrol,Dealer,Manual,0
25,Swift,2013,11,4.15,5.87,55138,Petrol,Dealer,Manual,0
26,Swift,2017,7,6.0,6.49,16200,Petrol,Individual,Manual,0
27,Alto K10,2010,14,1.95,3.95,44542,Petrol,Dealer,Manual,0
28,Ciaz,2015,9,7.45,10.38,45000,Diesel,Dealer,Manual,0
29,Ritz,2012,12,3.1,5.98,51439,Diesel,Dealer,Manual,0
30,Ritz,2011,13,2.35,4.89,54200,Petrol,Dealer,Manual,0
31,Swift,2014,10,4.95,7.49,39000,Diesel,Dealer,Manual,0
32,Ertiga,2014,10,6.0,9.95,45000,Diesel,Dealer,Manual,0
33,Dzire,2014,10,5.5,8.06,45000,Diesel,Dealer,Manual,0
34,Sx4,2011,13,2.95,7.74,49998,Cng,Dealer,Manual,0
35,Dzire,2015,9,4.65,7.2,48767,Petrol,Dealer,Manual,0
36,800,2003,21,0.35,2.28,127000,Petrol,Individual,Manual,0
37,Alto K10,2016,8,3.0,3.76,10079,Petrol,Dealer,Manual,0
38,Sx4,2003,21,2.25,7.98,62000,Petrol,Dealer,Manual,0
39,Baleno,2016,8,5.85,7.87,24524,Petrol,Dealer,Automatic,0
40,Alto K10,2014,10,2.55,3.98,46706,Petrol,Dealer,Manual,0
41,Sx4,2008,16,1.95,7.15,58000,Petrol,Dealer,Manual,0
42,Dzire,2014,10,5.5,8.06,45780,Diesel,Dealer,Manual,0
43,Omni,2012,12,1.25,2.69,50000,Petrol,Dealer,Manual,0
44,Ciaz,2014,10,7.5,12.04,15000,Petrol,Dealer,Automatic,0
45,Ritz,2013,11,2.65,4.89,64532,Petrol,Dealer,Manual,0
46,Wagon R,2006,18,1.05,4.15,65000,Petrol,Dealer,Manual,0
47,Ertiga,2015,9,5.8,7.71,25870,Petrol,Dealer,Manual,0
48,Ciaz,2017,7,7.75,9.29,37000,Petrol,Dealer,Automatic,0
49,Fortuner,2012,12,14.9,30.61,104707,Diesel,Dealer,Automatic,0
50,Fortuner,2015,9,23.0,30.61,40000,Diesel,Dealer,Automatic,0
51,Innova,2017,7,18.0,19.77,15000,Diesel,Dealer,Automatic,0
52,Fortuner,2013,11,16.0,30.61,135000,Diesel,Individual,Automatic,0
53,Innova,2005,19,2.75,10.21,90000,Petrol,Individual,Manual,0
54,Corolla Altis,2009,15,3.6,15.04,70000,Petrol,Dealer,Automatic,0
55,Etios Cross,2015,9,4.5,7.27,40534,Petrol,Dealer,Manual,0
56,Corolla Altis,2010,14,4.75,18.54,50000,Petrol,Dealer,Manual,0
57,Etios G,2014,10,4.1,6.8,39485,Petrol,Dealer,Manual,1
58,Fortuner,2014,10,19.99,35.96,41000,Diesel,Dealer,Automatic,0
59,Corolla Altis,2013,11,6.95,18.61,40001,Petrol,Dealer,Manual,0
60,Etios Cross,2015,9,4.5,7.7,40588,Petrol,Dealer,Manual,0
61,Fortuner,2014,10,18.75,35.96,78000,Diesel,Dealer,Automatic,0
62,Fortuner,2015,9,23.5,35.96,47000,Diesel,Dealer,Automatic,0
63,Etios Liva,2014,10,4.75,6.95,45000,Diesel,Dealer,Manual,0
64,Innova,2017,7,19.75,23.15,11000,Petrol,Dealer,Automatic,0
65,Fortuner,2010,14,9.25,20.45,59000,Diesel,Dealer,Manual,0
66,Corolla Altis,2011,13,4.35,13.74,88000,Petrol,Dealer,Manual,0
67,Corolla Altis,2016,8,14.25,20.91,12000,Petrol,Dealer,Manual,0
68,Etios Liva,2014,10,3.95,6.76,71000,Diesel,Dealer,Manual,0
69,Corolla Altis,2011,13,4.5,12.48,45000,Diesel,Dealer,Manual,0
70,Corolla Altis,2013,11,7.45,18.61,56001,Petrol,Dealer,Manual,0
71,Etios Liva,2011,13,2.65,5.71,43000,Petrol,Dealer,Manual,0
72,Etios Cross,2014,10,4.9,8.93,83000,Diesel,Dealer,Manual,0
73,Etios G,2015,9,3.95,6.8,36000,Petrol,Dealer,Manual,0
74,Corolla Altis,2013,11,5.5,14.68,72000,Petrol,Dealer,Manual,0
75,Corolla,2004,20,1.5,12.35,135154,Petrol,Dealer,Automatic,0
76,Corolla Altis,2010,14,5.25,22.83,80000,Petrol,Dealer,Automatic,0
77,Fortuner,2012,12,14.5,30.61,89000,Diesel,Dealer,Automatic,0
78,Corolla Altis,2016,8,14.73,14.89,23000,Diesel,Dealer,Manual,0
79,Etios Gd,2015,9,4.75,7.85,40000,Diesel,Dealer,Manual,0
80,Innova,2017,7,23.0,25.39,15000,Diesel,Dealer,Automatic,0
81,Innova,2015,9,12.5,13.46,38000,Diesel,Dealer,Manual,0
82,Corolla Altis,2012,12,5.9,13.74,56000,Petrol,Dealer,Manual,0
83,Etios Liva,2013,11,3.45,6.05,47000,Petrol,Dealer,Manual,0
84,Etios G,2014,10,4.75,6.76,40000,Petrol,Dealer,Manual,0
85,Corolla Altis,2009,15,3.8,18.61,62000,Petrol,Dealer,Manual,0
86,Innova,2014,10,11.25,16.09,58242,Diesel,Dealer,Manual,0
87,Innova,2005,19,3.51,13.7,75000,Petrol,Dealer,Manual,0
88,Corolla Altis,2008,16,4.0,22.78,89000,Petrol,Dealer,Automatic,0
89,Corolla Altis,2012,12,5.85,18.61,72000,Petrol,Dealer,Manual,0
90,Innova,2016,8,20.75,25.39,29000,Diesel,Dealer,Automatic,0
91,Corolla Altis,2017,7,17.0,18.64,8700,Petrol,Dealer,Manual,0
92,Corolla Altis,2013,11,7.05,18.61,45000,Petrol,Dealer,Manual,0
93,Fortuner,2010,14,9.65,20.45,50024,Diesel,Dealer,Manual,0
94,Royal Enfield Thunder 500,2016,8,1.75,1.9,3000,Petrol,Individual,Manual,0
95,Um Renegade Mojave,2017,7,1.7,1.82,1400,Petrol,Individual,Manual,0
96,Ktm Rc200,2017,7,1.65,1.78,4000,Petrol,Individual,Manual,0
97,Bajaj Dominar 400,2017,7,1.45,1.6,1200,Petrol,Individual,Manual,0
98,Royal Enfield Classic 350,2017,7,1.35,1.47,4100,Petrol,Individual,Manual,0
99,Ktm Rc390,2015,9,1.35,2.37,21700,Petrol,Individual,Manual,0
100,Hyosung Gt250R,2014,10,1.35,3.45,16500,Petrol,Individual,Manual,1
101,Royal Enfield Thunder 350,2013,11,1.25,1.5,15000,Petrol,Individual,Manual,0
102,Royal Enfield Thunder 350,2016,8,1.2,1.5,18000,Petrol,Individual,Manual,0
103,Royal Enfield Classic 350,2017,7,1.2,1.47,11000,Petrol,Individual,Manual,0
104,Ktm Rc200,2016,8,1.2,1.78,6000,Petrol,Individual,Manual,0
105,Royal Enfield Thunder 350,2016,8,1.15,1.5,8700,Petrol,Individual,Manual,0
106,Ktm 390 Duke,2014,10,1.15,2.4,7000,Petrol,Individual,Manual,0
107,Mahindra Mojo Xt300,2016,8,1.15,1.4,35000,Petrol,Individual,Manual,0
108,Royal Enfield Classic 350,2015,9,1.15,1.47,17000,Petrol,Individual,Manual,0
109,Royal Enfield Classic 350,2015,9,1.11,1.47,17500,Petrol,Individual,Manual,0
110,Royal Enfield Classic 350,2013,11,1.1,1.47,33000,Petrol,Individual,Manual,0
111,Royal Enfield Thunder 500,2015,9,1.1,1.9,14000,Petrol,Individual,Manual,0
112,Royal Enfield Classic 350,2015,9,1.1,1.47,26000,Petrol,Individual,Manual,0
113,Royal Enfield Thunder 500,2013,11,1.05,1.9,5400,Petrol,Individual,Manual,0
114,Bajaj Pulsar Rs200,2016,8,1.05,1.26,5700,Petrol,Individual,Manual,0
115,Royal Enfield Thunder 350,2011,13,1.05,1.5,6900,Petrol,Individual,Manual,0
116,Royal Enfield Bullet 350,2016,8,1.05,1.17,6000,Petrol,Individual,Manual,0
117,Royal Enfield Classic 350,2013,11,1.0,1.47,46500,Petrol,Individual,Manual,0
118,Royal Enfield Classic 500,2012,12,0.95,1.75,11500,Petrol,Individual,Manual,0
119,Royal Enfield Classic 500,2009,15,0.9,1.75,40000,Petrol,Individual,Manual,0
120,Bajaj Avenger 220,2017,7,0.9,0.95,1300,Petrol,Individual,Manual,0
121,Bajaj Avenger 150,2016,8,0.75,0.8,7000,Petrol,Individual,Manual,0
122,Honda Cb Hornet 160R,2017,7,0.8,0.87,3000,Petrol,Individual,Manual,0
123,Yamaha Fz S V 2.0,2017,7,0.78,0.84,5000,Petrol,Individual,Manual,0
124,Honda Cb Hornet 160R,2017,7,0.75,0.87,11000,Petrol,Individual,Manual,0
125,Yamaha Fz 16,2015,9,0.75,0.82,18000,Petrol,Individual,Manual,0
126,Bajaj Avenger 220,2017,7,0.75,0.95,3500,Petrol,Individual,Manual,0
127,Bajaj Avenger 220,2016,8,0.72,0.95,500,Petrol,Individual,Manual,0
128,Tvs Apache Rtr 160,2017,7,0.65,0.81,11800,Petrol,Individual,Manual,0
129,Bajaj Pulsar 150,2015,9,0.65,0.74,5000,Petrol,Individual,Manual,0
130,Honda Cbr 150,2014,10,0.65,1.2,23500,Petrol,Individual,Manual,0
131,Hero Extreme,2013,11,0.65,0.787,16000,Petrol,Individual,Manual,0
132,Honda Cb Hornet 160R,2016,8,0.6,0.87,15000,Petrol,Individual,Manual,0
133,Bajaj Avenger 220 Dtsi,2015,9,0.6,0.95,16600,Petrol,Individual,Manual,0
134,Honda Cbr 150,2013,11,0.6,1.2,32000,Petrol,Individual,Manual,0
135,Bajaj Avenger 150 Street,2016,8,0.6,0.8,20000,Petrol,Individual,Manual,0
136,Yamaha Fz  V 2.0,2015,9,0.6,0.84,29000,Petrol,Individual,Manual,0
137,Yamaha Fz  V 2.0,2016,8,0.6,0.84,25000,Petrol,Individual,Manual,0
138,Bajaj Pulsar  Ns 200,2014,10,0.6,0.99,25000,Petrol,Individual,Manual,0
139,Tvs Apache Rtr 160,2012,12,0.6,0.81,19000,Petrol,Individual,Manual,0
140,Hero Extreme,2014,10,0.55,0.787,15000,Petrol,Individual,Manual,0
141,Yamaha Fz S V 2.0,2015,9,0.55,0.84,58000,Petrol,Individual,Manual,0
142,Bajaj Pulsar 220 F,2010,14,0.52,0.94,45000,Petrol,Individual,Manual,0
143,Bajaj Pulsar 220 F,2016,8,0.51,0.94,24000,Petrol,Individual,Manual,0
144,Tvs Apache Rtr 180,2011,13,0.5,0.826,6000,Petrol,Individual,Manual,0
145,Hero Passion X Pro,2016,8,0.5,0.55,31000,Petrol,Individual,Manual,0
146,Bajaj Pulsar Ns 200,2012,12,0.5,0.99,13000,Petrol,Individual,Manual,0
147,Bajaj Pulsar Ns 200,2013,11,0.5,0.99,45000,Petrol,Individual,Manual,0
148,Yamaha Fazer,2014,10,0.5,0.88,8000,Petrol,Individual,Manual,0
149,Honda Activa 4G,2017,7,0.48,0.51,4300,Petrol,Individual,Automatic,0
150,Tvs Sport,2017,7,0.48,0.52,15000,Petrol,Individual,Manual,0
151,Yamaha Fz S V 2.0,2015,9,0.48,0.84,23000,Petrol,Individual,Manual,0
152,Honda Dream Yuga,2017,7,0.48,0.54,8600,Petrol,Individual,Manual,0
153,Honda Activa 4G,2017,7,0.45,0.51,4000,Petrol,Individual,Automatic,0
154,Bajaj Avenger Street 220,2011,13,0.45,0.95,24000,Petrol,Individual,Manual,0
155,Tvs Apache Rtr 180,2014,10,0.45,0.826,23000,Petrol,Individual,Manual,0
156,Bajaj Pulsar Ns 200,2012,12,0.45,0.99,14500,Petrol,Individual,Manual,0
157,Bajaj Avenger 220 Dtsi,2010,14,0.45,0.95,27000,Petrol,Individual,Manual,0
158,Hero Splender Ismart,2016,8,0.45,0.54,14000,Petrol,Individual,Manual,0
159,Activa 3G,2016,8,0.45,0.54,500,Petrol,Individual,Automatic,0
160,Hero Passion Pro,2016,8,0.45,0.55,1000,Petrol,Individual,Manual,0
161,Tvs Apache Rtr 160,2014,10,0.42,0.81,42000,Petrol,Individual,Manual,0
162,Honda Cb Trigger,2013,11,0.42,0.73,12000,Petrol,Individual,Manual,0
163,Hero Splender Ismart,2015,9,0.4,0.54,14000,Petrol,Individual,Manual,0
164,Yamaha Fz S,2012,12,0.4,0.83,5500,Petrol,Individual,Manual,0
165,Hero Passion Pro,2015,9,0.4,0.55,6700,Petrol,Individual,Manual,0
166,Bajaj Pulsar 135 Ls,2014,10,0.4,0.64,13700,Petrol,Individual,Manual,0
167,Activa 4G,2017,7,0.4,0.51,1300,Petrol,Individual,Automatic,0
168,Honda Cb Unicorn,2015,9,0.38,0.72,38600,Petrol,Individual,Manual,0
169,Hero Honda Cbz Extreme,2011,13,0.38,0.787,75000,Petrol,Individual,Manual,0
170,Honda Karizma,2011,13,0.35,1.05,30000,Petrol,Individual,Manual,0
171,Honda Activa 125,2016,8,0.35,0.57,24000,Petrol,Individual,Automatic,0
172,Tvs Jupyter,2014,10,0.35,0.52,19000,Petrol,Individual,Automatic,0
173,Hero Honda Passion Pro,2012,12,0.3,0.51,60000,Petrol,Individual,Manual,0
174,Hero Splender Plus,2016,8,0.3,0.48,50000,Petrol,Individual,Manual,0
175,Honda Cb Shine,2013,11,0.3,0.58,30000,Petrol,Individual,Manual,0
176,Bajaj Discover 100,2013,11,0.27,0.47,21000,Petrol,Individual,Manual,0
177,Bajaj Pulsar 150,2008,16,0.25,0.75,26000,Petrol,Individual,Manual,1
178,Suzuki Access 125,2008,16,0.25,0.58,1900,Petrol,Individual,Automatic,0
179,Tvs Wego,2010,14,0.25,0.52,22000,Petrol,Individual,Automatic,0
180,Honda Cb Twister,2013,11,0.25,0.51,32000,Petrol,Individual,Manual,0
181,Hero Glamour,2013,11,0.25,0.57,18000,Petrol,Individual,Manual,0
182,Hero Super Splendor,2005,19,0.2,0.57,55000,Petrol,Individual,Manual,0
183,Bajaj Pulsar 150,2008,16,0.2,0.75,60000,Petrol,Individual,Manual,0
184,Bajaj Discover 125,2012,12,0.2,0.57,25000,Petrol,Individual,Manual,1
185,Hero Hunk,2007,17,0.2,0.75,49000,Petrol,Individual,Manual,1
186,Hero  Ignitor Disc,2013,11,0.2,0.65,24000,Petrol,Individual,Manual,1
187,Hero  Cbz Xtreme,2008,16,0.2,0.787,50000,Petrol,Individual,Manual,0
188,Bajaj  Ct 100,2015,9,0.18,0.32,35000,Petrol,Individual,Manual,0
189,Honda Cb Twister,2010,14,0.16,0.51,33000,Petrol,Individual,Manual,0
190,Bajaj Discover 125,2011,13,0.15,0.57,35000,Petrol,Individual,Manual,1
191,Honda Cb Shine,2007,17,0.12,0.58,53000,Petrol,Individual,Manual,0
192,Bajaj Pulsar 150,2006,18,0.1,0.75,92233,Petrol,Individual,Manual,0
193,I20,2010,14,3.25,6.79,58000,Diesel,Dealer,Manual,1
194,Grand I10,2015,9,4.4,5.7,28200,Petrol,Dealer,Manual,0
195,I10,2011,13,2.95,4.6,53460,Petrol,Dealer,Manual,0
196,Eon,2015,9,2.75,4.43,28282,Petrol,Dealer,Manual,0
197,Grand I10,2016,8,5.25,5.7,3493,Petrol,Dealer,Manual,1
198,Xcent,2017,7,5.75,7.13,12479,Petrol,Dealer,Manual,0
199,Grand I10,2015,9,5.15,5.7,34797,Petrol,Dealer,Automatic,0
200,I20,2017,7,7.9,8.1,3435,Petrol,Dealer,Manual,0
201,Grand I10,2015,9,4.85,5.7,21125,Diesel,Dealer,Manual,0
202,I10,2012,12,3.1,4.6,35775,Petrol,Dealer,Manual,0
203,Elantra,2015,9,11.75,14.79,43535,Diesel,Dealer,Manual,0
204,Creta,2016,8,11.25,13.6,22671,Petrol,Dealer,Manual,0
205,I20,2011,13,2.9,6.79,31604,Petrol,Dealer,Manual,0
206,Grand I10,2017,7,5.25,5.7,20114,Petrol,Dealer,Manual,0
207,Verna,2012,12,4.5,9.4,36100,Petrol,Dealer,Manual,0
208,Eon,2016,8,2.9,4.43,12500,Petrol,Dealer,Manual,0
209,Eon,2016,8,3.15,4.43,15000,Petrol,Dealer,Manual,0
210,Verna,2014,10,6.45,9.4,45078,Petrol,Dealer,Manual,0
211,Verna,2012,12,4.5,9.4,36000,Petrol,Dealer,Manual,0
212,Eon,2017,7,3.5,4.43,38488,Petrol,Dealer,Manual,0
213,I20,2013,11,4.5,6.79,32000,Petrol,Dealer,Automatic,0
214,I20,2014,10,6.0,7.6,77632,Diesel,Dealer,Manual,0
215,Verna,2015,9,8.25,9.4,61381,Diesel,Dealer,Manual,0
216,Verna,2013,11,5.11,9.4,36198,Petrol,Dealer,Automatic,0
217,I10,2011,13,2.7,4.6,22517,Petrol,Dealer,Manual,0
218,Grand I10,2015,9,5.25,5.7,24678,Petrol,Dealer,Manual,0
219,I10,2011,13,2.55,4.43,57000,Petrol,Dealer,Manual,0
220,Verna,2012,12,4.95,9.4,60000,Diesel,Dealer,Manual,0
221,I20,2012,12,3.1,6.79,52132,Diesel,Dealer,Manual,0
222,Verna,2013,11,6.15,9.4,45000,Diesel,Dealer,Manual,0
223,Verna,2017,7,9.25,9.4,15001,Petrol,Dealer,Manual,0
224,Elantra,2015,9,11.45,14.79,12900,Petrol,Dealer,Automatic,0
225,Grand I10,2013,11,3.9,5.7,53000,Diesel,Dealer,Manual,0
226,Grand I10,2015,9,5.5,5.7,4492,Petrol,Dealer,Manual,0
227,Verna,2017,7,9.1,9.4,15141,Petrol,Dealer,Manual,0
228,Eon,2016,8,3.1,4.43,11849,Petrol,Dealer,Manual,0
229,Creta,2015,9,11.25,13.6,68000,Diesel,Dealer,Manual,0
230,Verna,2013,11,4.8,9.4,60241,Petrol,Dealer,Manual,0
231,Eon,2012,12,2.0,4.43,23709,Petrol,Dealer,Manual,0
232,Verna,2012,12,5.35,9.4,32322,Diesel,Dealer,Manual,0
233,Xcent,2015,9,4.75,7.13,35866,Petrol,Dealer,Manual,1
234,Xcent,2014,10,4.4,7.13,34000,Petrol,Dealer,Manual,0
235,I20,2016,8,6.25,7.6,7000,Petrol,Dealer,Manual,0
236,Verna,2013,11,5.95,9.4,49000,Diesel,Dealer,Manual,0
237,Verna,2012,12,5.2,9.4,71000,Diesel,Dealer,Manual,0
238,I20,2012,12,3.75,6.79,35000,Petrol,Dealer,Manual,0
239,Verna,2015,9,5.95,9.4,36000,Petrol,Dealer,Manual,0
240,I10,2013,11,4.0,4.6,30000,Petrol,Dealer,Manual,0
241,I20,2016,8,5.25,7.6,17000,Petrol,Dealer,Manual,0
242,Creta,2016,8,12.9,13.6,35934,Diesel,Dealer,Manual,0
243,City,2013,11,5.0,9.9,56701,Petrol,Dealer,Manual,0
244,Brio,2015,9,5.4,6.82,31427,Petrol,Dealer,Automatic,0
245,City,2014,10,7.2,9.9,48000,Diesel,Dealer,Manual,0
246,City,2013,11,5.25,9.9,54242,Petrol,Dealer,Manual,0
247,Brio,2012,12,3.0,5.35,53675,Petrol,Dealer,Manual,0
248,City,2016,8,10.25,13.6,49562,Petrol,Dealer,Manual,0
249,City,2015,9,8.5,13.6,40324,Petrol,Dealer,Manual,0
250,City,2015,9,8.4,13.6,25000,Petrol,Dealer,Manual,0
251,Amaze,2014,10,3.9,7.0,36054,Petrol,Dealer,Manual,0
252,City,2016,8,9.15,13.6,29223,Petrol,Dealer,Manual,0
253,Brio,2016,8,5.5,5.97,5600,Petrol,Dealer,Manual,0
254,Amaze,2015,9,4.0,5.8,40023,Petrol,Dealer,Manual,0
255,Jazz,2016,8,6.6,7.7,16002,Petrol,Dealer,Manual,0
256,Amaze,2015,9,4.0,7.0,40026,Petrol,Dealer,Manual,0
257,Jazz,2017,7,6.5,8.7,21200,Petrol,Dealer,Manual,0
258,Amaze,2014,10,3.65,7.0,35000,Petrol,Dealer,Manual,0
259,City,2016,8,8.35,9.4,19434,Diesel,Dealer,Manual,0
260,Brio,2017,7,4.8,5.8,19000,Petrol,Dealer,Manual,0
261,City,2015,9,6.7,10.0,18828,Petrol,Dealer,Manual,0
262,City,2011,13,4.1,10.0,69341,Petrol,Dealer,Manual,0
263,City,2009,15,3.0,10.0,69562,Petrol,Dealer,Manual,0
264,City,2015,9,7.5,10.0,27600,Petrol,Dealer,Manual,0
265,Jazz,2010,14,2.25,7.5,61203,Petrol,Dealer,Manual,0
266,Brio,2014,10,5.3,6.8,16500,Petrol,Dealer,Manual,0
267,City,2016,8,10.9,13.6,30753,Petrol,Dealer,Automatic,0
268,City,2015,9,8.65,13.6,24800,Petrol,Dealer,Manual,0
269,City,2015,9,9.7,13.6,21780,Petrol,Dealer,Manual,0
270,Jazz,2016,8,6.0,8.4,4000,Petrol,Dealer,Manual,0
271,City,2014,10,6.25,13.6,40126,Petrol,Dealer,Manual,0
272,Brio,2015,9,5.25,5.9,14465,Petrol,Dealer,Manual,0
273,City,2006,18,2.1,7.6,50456,Petrol,Dealer,Manual,0
274,City,2014,10,8.25,14.0,63000,Diesel,Dealer,Manual,0
275,City,2016,8,8.99,11.8,9010,Petrol,Dealer,Manual,0
276,Brio,2013,11,3.5,5.9,9800,Petrol,Dealer,Manual,0
277,Jazz,2016,8,7.4,8.5,15059,Petrol,Dealer,Automatic,0
278,Jazz,2016,8,5.65,7.9,28569,Petrol,Dealer,Manual,0
279,Amaze,2015,9,5.75,7.5,44000,Petrol,Dealer,Automatic,0
280,City,2015,9,8.4,13.6,34000,Petrol,Dealer,Manual,0
281,City,2016,8,10.11,13.6,10980,Petrol,Dealer,Manual,0
282,Amaze,2014,10,4.5,6.4,19000,Petrol,Dealer,Manual,0
283,Brio,2015,9,5.4,6.1,31427,Petrol,Dealer,Manual,0
284,Jazz,2016,8,6.4,8.4,12000,Petrol,Dealer,Manual,0
285,City,2010,14,3.25,9.9,38000,Petrol,Dealer,Manual,0
286,Amaze,2014,10,3.75,6.8,33019,Petrol,Dealer,Manual,0
287,City,2015,9,8.55,13.09,60076,Diesel,Dealer,Manual,0
288,City,2016,8,9.5,11.6,33988,Diesel,Dealer,Manual,0
289,Brio,2015,9,4.0,5.9,60000,Petrol,Dealer,Manual,0
290,City,2009,15,3.35,11.0,87934,Petrol,Dealer,Manual,0
291,City,2017,7,11.5,12.5,9000,Diesel,Dealer,Manual,0
292,Brio,2016,8,5.3,5.9,5464,Petrol,Dealer,Manual,0
